block,code,msg_type,sender,pool_id,share_in,denom_1,amount_1,denom_2,amount_2,denom_3,amount_3,denom_4,amount_4
4707358,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1q5cv296zedshm3eggg9ps90jx3fhad55ndxwrw,2,9633519667662087626886,uion,23597,uosmo,4696603
4707359,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1nl09n46sfnk0z8jk33mvu9u6lz5ymqj4hmj84x,678,1314044680092746610412,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,6614647541,uosmo,5930404505
4707364,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1q5cv296zedshm3eggg9ps90jx3fhad55ndxwrw,1,762250296963882503058,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,10351130,uosmo,80585031
4707366,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1wy0qnu62k4qx8kfvc2q6n76cxnxgpgmqcyqsnu,1,3854955715204338946616,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,52349116,uosmo,407545768
4707371,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1cf6ym2cfcv0mxqvy02gv8f0pl05dhra02jfw89,560,1151904271760349731,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC,150886009,uosmo,1208563
4707375,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo10d65jzky0vhzhccdvv9yxew8rt7cnenheeg82a,561,14000920987598699400,ibc/0EF15DF2F02480ADE0BB6E85D9EBB5DAEA2836D3860E9F97F9AADE4F57A31AA0,4772112193,uosmo,236288
4707380,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1z98eg2ztdp2glyla62629nrlvczg8s7f8sgpm5,597,1255048599715962223353,ibc/FE2CD1E6828EC0FAB8AF39BAC45BC25B965BA67CCBC50C13A14BD610B0D1E2C4,13249391595,uosmo,261336001
4707388,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1wnc5emxmftn2kzrjpftu8eyraffc5cwftgp65n,678,100000000000000000,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,503676,uosmo,451045
4707396,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1m59jgm3u5rvxrw8z7q2c6zdd0xt6y0cgw8hcfq,629,1620713596801832567,ibc/8318FD63C42203D16DDCAF49FE10E8590669B3219A3E87676AC9DA50722687FB,140454437101651711348945,uosmo,1099473427
4707396,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1me3hg2l74zn5ag9y879u7re4cp4dxea9h5d45s,719,233690835709623035221,ibc/A0CC0CF735BFB30E730C70019D4218A1244FF383503FF7579C9201AB93CA9293,10435861,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,5993965
4707398,0,/osmosis.gamm.v1beta1.MsgExitPool,osmo1z98eg2ztdp2glyla62629nrlvczg8s7f8sgpm5,597,71939629717184710670,ibc/FE2CD1E6828EC0FAB8AF39BAC45BC25B965BA67CCBC50C13A14BD610B0D1E2C4,759419417,uosmo,14979075
